Country/Region,Confirmed,Deaths,Recovered
Afghanistan,7,0,0
Albania,33,1,0
Algeria,26,2,8
Andorra,1,0,0
Antigua and Barbuda,1,0,0
Argentina,31,2,0
Armenia,8,0,0
Aruba,2,0,0
Australia,200,3,23
Austria,504,1,6
Azerbaijan,15,1,3
Bahrain,189,0,44
Bangladesh,3,0,0
Belarus,27,0,3
Belgium,559,3,1
Bhutan,1,0,0
Bolivia,3,0,0
Bosnia and Herzegovina,13,0,0
Brazil,151,0,0
Brunei,37,0,0
Bulgaria,23,1,0
Burkina Faso,2,0,0
Cambodia,5,0,1
Cameroon,2,0,0
Canada,193,1,8
Cayman Islands,1,0,0
Chile,43,0,0
China,80945,3180,64196
Colombia,13,0,0
Congo (Kinshasa),2,0,0
Costa Rica,23,0,0
Cote d'Ivoire,1,0,0
Croatia,32,0,1
Cruise Ship,696,7,325
Cuba,4,0,0
Cyprus,14,0,0
Czechia,141,0,0
Denmark,804,0,1
Dominican Republic,5,0,0
Ecuador,17,0,0
Egypt,80,2,27
Estonia,79,0,0
Ethiopia,1,0,0
Finland,155,0,1
France,3667,79,12
French Guiana,5,0,0
Georgia,25,0,0
Germany,3675,7,46
Greece,190,1,0
Guadeloupe,1,0,0
Guinea,1,0,0
Guyana,1,1,0
Holy See,1,0,0
Honduras,2,0,0
Hungary,19,0,0
Iceland,134,0,1
India,82,2,4
Indonesia,69,4,2
Iran,11364,514,2959
Iraq,101,9,24
Ireland,90,1,0
Israel,161,0,4
Italy,17660,1266,1439
Jamaica,8,0,0
Japan,701,19,118
Jordan,1,0,1
Kazakhstan,4,0,0
Kenya,1,0,0
"Korea, South",7979,66,510
Kuwait,80,0,5
Latvia,17,0,1
Lebanon,77,3,1
Liechtenstein,1,0,0
Lithuania,6,0,0
Luxembourg,34,0,0
Malaysia,197,0,26
Maldives,9,0,0
Malta,12,0,1
Martinique,3,0,0
Mexico,12,0,4
Moldova,6,0,0
Monaco,2,0,0
Mongolia,1,0,0
Morocco,7,1,1
Nepal,1,0,1
Netherlands,804,10,0
New Zealand,5,0,0
Nigeria,2,0,0
North Macedonia,14,0,1
Norway,996,0,1
Oman,19,0,9
Pakistan,28,0,2
Panama,27,1,0
Paraguay,6,0,0
Peru,28,0,0
Philippines,64,5,2
Poland,68,2,0
Portugal,112,0,1
Qatar,320,0,0
Reunion,5,0,0
Romania,89,0,7
Russia,45,0,3
San Marino,80,5,0
Saudi Arabia,86,0,1
Senegal,10,0,1
Serbia,35,0,0
Singapore,200,0,97
Slovakia,32,0,0
Slovenia,141,0,0
South Africa,24,0,0
Spain,5232,133,193
Sri Lanka,6,0,1
Sudan,1,1,0
Sweden,814,1,1
Switzerland,1139,11,4
Taiwan*,50,1,20
Thailand,75,1,35
Togo,1,0,0
Tunisia,16,0,0
Turkey,5,0,0
US,2179,47,12
Ukraine,3,1,0
United Arab Emirates,85,0,17
United Kingdom,801,8,19
Vietnam,47,0,16
